#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
55.532	397	55.558	504
55.582	400	55.608	508
55.634	403	55.659	510
55.684	407	55.709	514
55.735	412	55.761	519
55.785	414	55.811	521
55.836	418	55.862	522
55.887	421	55.912	526
55.938	425	55.963	527
55.988	426	56.014	524
56.039	427	56.065	527
56.089	428	56.115	524
56.141	426	56.166	522
56.191	425	56.216	519
56.242	421	56.268	516
56.292	419	56.318	512
56.343	415	56.369	507
56.393	413	56.419	505
56.445	407	56.470	501
56.495	405	56.520	500
56.546	400	56.572	497
56.596	397	56.622	496
56.647	395	56.673	496
56.698	394	56.723	496
56.749	393	56.774	497
56.799	393	56.825	498
56.850	393	56.876	501
56.900	396	56.926	503
56.952	398	56.977	505
57.002	401	57.027	509
57.053	404	57.079	512
57.103	409	57.129	515
