#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
50.970	436	50.995	483
51.021	439	51.046	482
51.071	440	51.097	481
51.122	440	51.148	483
51.172	435	51.198	484
51.224	432	51.249	490
51.274	426	51.299	496
51.325	418	51.351	503
51.375	409	51.401	511
51.426	401	51.452	520
51.477	393	51.502	529
51.528	386	51.553	537
51.578	380	51.603	543
51.629	375	51.655	548
51.679	372	51.705	553
51.730	371	51.756	554
51.781	370	51.806	553
51.832	373	51.857	552
51.883	378	51.908	548
51.933	383	51.959	543
51.984	390	52.009	536
52.035	396	52.060	528
52.086	405	52.110	520
52.136	413	52.162	511
52.187	420	52.212	504
52.237	426	52.263	496
52.289	432	52.313	492
52.339	436	52.364	486
52.390	439	52.414	484
52.440	439	52.466	484
52.491	437	52.516	484
52.541	434	52.567	487
52.593	429	52.617	492
52.643	423	52.668	499
52.694	415	52.719	506
52.744	408	52.770	513
52.795	401	52.820	521
52.846	393	52.871	529
52.897	384	52.921	536
52.947	380	52.973	542
52.998	375	53.023	547
53.048	372	53.074	550
53.100	371	53.124	552
53.150	371	53.175	551
53.201	374	53.226	549
53.251	378	53.277	544
53.302	384	53.327	540
53.352	391	53.378	533
53.404	400	53.428	527
53.454	406	53.479	518
53.505	415	53.530	510
53.555	422	53.581	504
53.606	428	53.631	496
53.657	433	53.682	491
53.708	437	53.732	487
53.758	439	53.784	486
53.809	438	53.834	486
53.859	436	53.885	486
53.911	432	53.935	490
53.961	427	53.986	494
54.012	420	54.037	500
54.062	414	54.088	508
54.113	405	54.138	515
54.163	398	54.189	523
54.215	391	54.239	530
54.265	384	54.290	536
54.316	379	54.341	542
54.366	375	54.392	544
54.417	372	54.442	548
54.468	371	54.493	549
54.519	373	54.543	548
54.569	376	54.595	546
54.620	381	54.645	544
54.670	385	54.696	537
54.722	392	54.746	531
54.772	400	54.797	524
54.823	409	54.848	517
54.873	416	54.899	510
54.924	423	54.950	503
54.974	429	55.000	497
55.026	433	55.051	492
55.076	436	55.101	490
55.127	437	55.153	488
55.177	437	55.203	488
55.228	434	55.254	490
55.279	432	55.304	493
55.330	424	55.355	498
55.380	419	55.406	503
55.431	413	55.457	510
55.481	405	55.507	516
55.533	397	55.558	525
55.583	390	55.608	530
55.634	384	55.660	536
55.684	379	55.710	541
55.735	375	55.761	545
55.786	374	55.811	546
55.837	372	55.862	546
55.887	374	55.912	546
55.938	377	55.964	542
55.988	382	56.014	539
56.039	389	56.065	533
56.090	394	56.115	528
56.141	402	56.166	521
56.191	409	56.217	514
56.242	417	56.268	507
56.292	422	56.318	501
56.344	427	56.369	497
56.394	433	56.419	495
56.445	437	56.471	492
56.495	438	56.521	491
56.546	438	56.572	492
56.597	435	56.622	494
56.648	431	56.673	497
56.698	423	56.723	501
56.749	418	56.775	507
56.799	411	56.825	513
56.850	404	56.876	520
56.901	397	56.926	526
56.952	391	56.977	532
57.002	383	57.028	536
57.053	378	57.079	540
57.103	375	57.129	543
