#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
38.094	448	38.119	438
38.145	447	38.170	428
38.195	447	38.221	423
38.246	447	38.272	420
38.296	448	38.322	420
38.348	448	38.373	423
38.398	448	38.423	430
38.449	448	38.475	438
38.499	448	38.525	449
38.550	446	38.576	461
38.601	448	38.626	474
38.652	448	38.677	487
38.702	446	38.727	500
38.753	448	38.779	514
38.803	446	38.829	524
38.854	448	38.880	531
38.905	448	38.930	538
38.956	448	38.981	541
39.006	447	39.032	540
39.057	448	39.083	538
39.107	448	39.133	532
39.159	448	39.184	524
39.209	448	39.234	513
39.260	450	39.286	499
39.310	448	39.336	486
39.361	449	39.387	473
39.412	448	39.437	460
39.463	449	39.488	449
39.513	449	39.538	438
39.564	448	39.590	431
39.614	448	39.640	425
39.665	448	39.691	423
39.716	447	39.741	422
39.767	446	39.792	426
39.817	447	39.843	430
39.868	448	39.894	441
39.918	448	39.944	450
39.970	447	39.995	463
40.020	446	40.045	475
40.071	448	40.097	488
40.121	447	40.147	501
40.172	448	40.198	514
40.223	447	40.248	524
40.274	448	40.299	532
40.324	449	40.349	538
40.375	449	40.401	539
40.425	449	40.451	540
40.476	449	40.502	535
40.527	449	40.552	529
40.578	448	40.603	519
40.628	448	40.654	510
40.679	449	40.705	497
40.729	448	40.755	485
40.781	448	40.806	471
40.831	448	40.856	459
40.882	448	40.908	448
40.932	447	40.958	438
40.983	448	41.009	430
41.034	447	41.059	426
41.085	447	41.110	424
41.135	448	41.161	425
41.186	447	41.212	430
41.236	448	41.262	433
41.287	448	41.313	444
41.338	447	41.363	454
41.389	448	41.414	466
41.440	447	41.465	478
41.490	447	41.516	491
41.541	448	41.566	501
41.592	448	41.617	513
41.643	448	41.667	522
41.693	448	41.719	530
41.744	448	41.769	535
41.794	448	41.820	535
41.846	447	41.870	536
41.896	448	41.921	531
41.947	448	41.972	526
41.997	449	42.023	518
42.048	448	42.073	506
42.098	448	42.124	495
42.150	449	42.174	483
42.200	448	42.225	471
42.251	448	42.276	459
42.301	447	42.327	448
42.352	448	42.377	438
42.403	447	42.428	434
42.454	447	42.478	426
42.504	447	42.530	427
42.555	447	42.580	428
42.605	447	42.631	431
42.657	446	42.681	437
42.707	447	42.732	446
42.758	447	42.783	455
42.808	448	42.834	467
42.859	448	42.884	480
42.909	448	42.935	492
42.961	447	42.985	503
43.011	449	43.036	513
43.062	448	43.087	523
43.112	448	43.138	530
43.163	448	43.188	533
43.214	448	43.239	536
43.265	447	43.289	534
43.315	448	43.341	529
43.366	448	43.391	523
43.416	448	43.442	514
43.468	448	43.492	504
43.518	447	43.543	492
43.569	447	43.594	481
43.619	447	43.645	469
43.670	446	43.695	458
43.721	448	43.746	448
43.772	447	43.796	439
43.822	447	43.847	434
43.873	447	43.898	428
43.923	448	43.949	428
43.974	447	43.999	430
44.025	448	44.050	434
44.076	448	44.100	440
44.126	448	44.152	448
44.177	447	44.202	459
44.227	448	44.253	470
44.279	448	44.303	481
44.329	448	44.354	493
44.380	449	44.405	504
44.430	448	44.456	514
44.481	448	44.507	522
44.532	449	44.557	529
44.583	448	44.608	531
44.633	448	44.658	533
44.684	448	44.710	531
44.734	448	44.760	527
44.785	447	44.811	521
44.836	448	44.861	512
44.887	448	44.912	502
44.937	447	44.963	490
44.988	448	45.014	480
45.038	447	45.064	468
45.090	446	45.115	457
45.140	447	45.165	448
45.191	447	45.217	440
45.241	448	45.267	434
45.292	448	45.318	431
45.343	448	45.368	431
45.394	448	45.419	431
45.444	448	45.469	437
45.495	448	45.521	442
45.545	448	45.571	451
45.596	449	45.622	461
45.647	449	45.672	471
45.698	448	45.723	482
45.748	448	45.774	494
45.799	448	45.825	505
45.849	448	45.875	514
45.901	449	45.926	522
45.951	448	45.976	527
46.002	448	46.028	531
