#Creator: pendulumEventBuffer
#Creation time: Thu Mar 30 12:09:25 2023
#Time	Period	Transit time
#[s]	[s]	[s]
809.221572	2.113696	0.107912
810.278381	2.113610	0.108154
811.335182	2.113657	0.108372
812.392038	2.113644	0.108520
813.448826	2.113564	0.108788
814.505602	2.113644	0.109052
815.562470	2.113646	0.109216
816.619248	2.113622	0.109492
817.676092	2.113676	0.109764
818.732924	2.113640	0.109988
819.789732	2.113632	0.110192
820.846556	2.113619	0.110428
821.903351	2.113579	0.110670
822.960135	2.113552	0.110858
824.016903	2.113583	0.111098
825.073718	2.113619	0.111364
826.130522	2.113617	0.111552
827.187335	2.113620	0.111758
828.244142	2.113581	0.112016
829.300916	2.113575	0.112276
830.357717	2.113559	0.112446
831.414475	2.113540	0.112654
832.471257	2.113535	0.112910
833.528010	2.113560	0.113224
834.584817	2.113548	0.113506
835.641558	2.113501	0.113676
836.698318	2.113547	0.113884
837.755105	2.113523	0.114066
838.811841	2.113493	0.114150
839.868598	2.113597	0.114400
840.925438	2.113603	0.114756
841.982201	2.113495	0.115014
843.038933	2.113449	0.115286
844.095650	2.113533	0.115536
845.152466	2.113558	0.115632
846.209208	2.113469	0.115900
847.265935	2.113455	0.116290
848.322663	2.113475	0.116510
849.379410	2.113455	0.116712
850.436118	2.113400	0.116872
851.492810	2.113421	0.117048
852.549539	2.113550	0.117290
853.606360	2.113482	0.117592
854.663021	2.113408	0.117834
855.719768	2.113462	0.118052
856.776483	2.113384	0.118282
857.833152	2.113424	0.118500
858.889907	2.113500	0.118766
859.946652	2.113484	0.119028
861.003391	2.113453	0.119250
862.060105	2.113378	0.119454
863.116769	2.113367	0.119718
864.173472	2.113431	0.120004
865.230200	2.113400	0.120220
866.286872	2.113359	0.120424
867.343559	2.113410	0.120654
868.400282	2.113414	0.120896
869.456973	2.113378	0.121158
870.513660	2.113374	0.121428
871.570347	2.113413	0.121662
872.627073	2.113390	0.121842
873.683737	2.113383	0.122046
874.740456	2.113369	0.122288
875.797106	2.113375	0.122500
876.853831	2.113406	0.122770
877.910512	2.113335	0.123068
878.967166	2.113316	0.123296
880.023828	2.113337	0.123528
881.080503	2.113326	0.123802
882.137154	2.113321	0.124040
883.193824	2.113338	0.124276
884.250492	2.113328	0.124516
885.307152	2.113276	0.124720
886.363768	2.113241	0.124956
887.420393	2.113230	0.125270
888.476998	2.113250	0.125540
889.533643	2.113305	0.125758
890.590303	2.113316	0.125986
891.646959	2.113243	0.126242
892.703546	2.113382	0.126516
893.760341	2.113410	0.126778
894.816956	2.113248	0.127048
895.873589	2.113239	0.127262
896.930195	2.113295	0.127490
897.986884	2.113288	0.127716
899.043483	2.113175	0.127954
900.100059	2.113175	0.128246
901.156658	2.113244	0.128452
902.213303	2.113229	0.128698
903.269887	2.113229	0.129006
904.326532	2.113248	0.129220
905.383135	2.113226	0.129486
906.439758	2.113190	0.129768
907.496325	2.113191	0.130054
908.552949	2.113238	0.130266
909.609563	2.113213	0.130486
910.666162	2.113197	0.130784
911.722760	2.113212	0.131040
912.779374	2.113183	0.131264
913.835943	2.113213	0.131502
914.892587	2.113248	0.131838
915.949191	2.113188	0.132058
