#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
52.541	449	52.567	432
52.593	447	52.618	441
52.643	447	52.668	455
52.694	448	52.720	470
52.744	448	52.770	483
52.795	449	52.821	498
52.846	448	52.871	512
52.897	449	52.922	524
52.947	448	52.972	534
52.998	448	53.024	541
53.048	449	53.074	544
53.099	449	53.125	546
53.150	449	53.175	544
53.201	448	53.226	538
53.251	449	53.277	529
53.302	448	53.328	519
53.352	448	53.378	507
53.404	448	53.429	492
53.454	448	53.479	478
53.505	447	53.531	464
53.555	448	53.581	450
53.606	448	53.632	437
53.657	448	53.682	428
53.708	448	53.733	423
53.758	449	53.783	418
53.809	447	53.835	417
53.859	449	53.885	420
53.910	448	53.936	426
53.961	450	53.986	435
54.012	448	54.037	446
54.062	447	54.088	457
54.113	448	54.139	472
54.163	449	54.189	486
54.215	447	54.240	498
54.265	448	54.290	512
54.316	448	54.342	524
54.366	449	54.392	533
54.417	448	54.443	539
54.468	449	54.493	544
54.519	448	54.544	544
54.569	449	54.594	542
54.620	448	54.646	535
54.670	448	54.696	527
54.721	449	54.747	516
54.772	449	54.797	503
54.823	449	54.848	490
54.873	449	54.899	476
54.924	450	54.950	462
54.974	448	55.000	450
55.026	447	55.051	437
55.076	447	55.101	429
55.127	447	55.153	423
55.177	447	55.203	419
55.228	448	55.254	419
55.279	448	55.304	423
55.330	449	55.355	428
55.380	448	55.406	437
55.431	448	55.457	448
55.481	449	55.507	460
55.532	449	55.558	473
55.583	448	55.608	488
55.634	449	55.659	500
55.685	448	55.710	514
55.735	448	55.761	523
55.786	447	55.811	531
55.837	448	55.862	539
55.888	449	55.912	542
55.938	448	55.964	542
55.989	447	56.014	538
56.039	449	56.065	532
56.091	449	56.115	524
56.141	447	56.166	513
56.192	449	56.217	500
56.242	449	56.268	488
56.293	448	56.318	475
56.343	448	56.369	461
56.395	448	56.419	449
56.445	448	56.470	439
56.496	448	56.521	431
56.546	448	56.572	425
56.597	447	56.622	422
56.648	448	56.673	422
56.699	449	56.723	425
56.749	447	56.775	431
56.800	448	56.825	439
56.850	448	56.876	449
56.902	448	56.926	462
56.952	448	56.977	476
57.003	449	57.028	490
57.053	449	57.079	503
57.104	449	57.129	514
