#Creator: tempmonitorEventBuffer
#Creation time: Thu Nov 17 11:40:47 2022
#Time 0	Temp A0	Time 1	Temp A1
#[s]	[deg C]	[s]	[deg C]
318.691	25.35	318.941	24.71
319.192	25.35	319.442	24.71
319.693	25.35	319.943	24.61
320.194	25.35	320.443	24.61
320.694	25.25	320.944	24.61
321.195	25.35	321.445	24.61
321.696	25.25	321.946	24.61
322.197	25.25	322.446	24.61
322.697	25.25	322.947	24.61
323.198	25.35	323.448	24.61
323.699	25.25	323.949	24.61
324.200	25.25	324.449	24.50
324.699	25.25	324.950	24.50
325.200	25.15	325.451	24.50
325.701	25.25	325.952	24.61
326.201	25.25	326.452	24.50
326.702	25.25	326.953	24.50
327.203	25.05	327.454	24.50
327.704	25.15	327.955	24.61
328.204	25.25	328.455	24.50
328.705	25.15	328.956	24.61
329.206	25.15	329.457	24.50
329.707	25.25	329.957	24.50
330.207	25.25	330.458	24.50
330.708	25.15	330.958	24.50
331.209	25.15	331.459	24.50
331.710	25.15	331.959	24.50
332.210	25.15	332.460	24.50
332.711	25.15	332.961	24.50
333.212	25.05	333.462	24.50
333.712	25.15	333.962	24.50
334.213	25.15	334.463	24.50
334.714	25.05	334.964	24.50
335.215	25.15	335.465	24.50
335.715	25.05	335.965	24.50
336.216	25.05	336.466	24.50
336.716	25.15	336.967	24.50
337.217	25.05	337.467	24.50
337.717	25.05	337.968	24.61
338.218	25.05	338.469	24.50
338.719	24.95	338.970	24.50
339.220	24.95	339.470	24.40
339.720	24.95	339.971	24.50
340.221	24.85	340.472	24.40
340.722	25.05	340.973	24.40
341.222	24.85	341.473	24.30
341.723	24.85	341.974	24.19
342.224	24.75	342.475	24.19
342.725	24.75	342.975	24.19
343.225	24.75	343.475	24.09
343.726	24.75	343.976	24.09
344.227	24.75	344.477	24.09
344.728	24.75	344.977	24.09
345.228	24.75	345.478	23.98
345.729	24.65	345.979	23.98
346.230	24.65	346.480	23.98
346.731	24.75	346.980	23.98
347.231	24.75	347.481	23.98
347.732	24.65	347.982	23.98
348.233	24.65	348.483	23.88
348.734	24.75	348.983	23.88
349.233	24.65	349.484	23.88
349.734	24.75	349.985	23.78
350.235	25.05	350.486	23.78
350.735	24.65	350.986	23.78
351.236	24.65	351.487	23.78
351.737	24.65	351.988	23.78
352.238	24.65	352.489	23.78
352.738	24.95	352.989	23.78
353.239	24.65	353.490	23.78
353.740	24.65	353.991	23.67
354.241	24.65	354.491	23.67
354.741	24.65	354.992	23.67
355.242	24.65	355.492	23.67
355.743	24.65	355.993	23.67
356.244	24.65	356.493	23.67
356.744	24.55	356.994	23.67
357.245	24.65	357.495	23.67
357.746	24.65	357.996	23.57
358.246	24.65	358.496	23.57
358.747	24.65	358.997	23.67
359.248	24.65	359.498	23.57
359.749	24.65	359.999	23.67
360.249	24.65	360.499	23.57
360.750	24.65	361.000	23.57
361.251	24.65	361.501	23.57
361.751	24.65	362.001	23.57
362.251	24.65	362.502	23.57
362.752	24.65	363.003	23.47
363.253	24.65	363.504	23.47
363.754	24.55	364.004	23.47
364.254	24.65	364.505	23.47
364.755	24.65	365.006	23.47
365.256	24.65	365.507	23.47
365.756	24.65	366.007	23.47
366.257	24.65	366.508	23.47
366.758	24.65	367.009	23.47
367.259	24.65	367.509	23.36
367.759	24.65	368.009	23.47
368.260	24.65	368.510	23.47
368.761	24.55	369.011	23.47
369.262	24.55	369.512	23.47
369.762	24.55	370.012	23.36
370.263	24.44	370.513	23.36
370.764	24.44	371.014	23.26
